"","Title","Authors","Abstract","Published.Year","Published.Month","Journal","Volume","Issue","Pages","Accession.Number","DOI","Ref","Covidence..","Study","Notes","Tags","cld2","target","results"
"180","Cognitive emotion regulation in euthymic bipolar disorder","Wolkenstein, L.; Zwick, J. C.; Hautzinger, M.; Joormann, J.","BACKGROUND: Based on findings indicating increased stress reactivity and prolonged stress recovery in individuals with bipolar disorder (BD), it has been proposed that emotion regulation (ER) deficits lie at the core of this disorder. Recent studies show an increased use of maladaptive ER strategies and a decreased use of adaptive ER strategies in BD. Whether this pattern is merely a correlate of affective episodes or might be a stable characteristic of BD, however, remains to be explored. In addition, it is unclear whether these deficits in ER are specific to people with a history of BD. METHODS: We examined whether euthymic BD individuals differ from healthy controls (HC) and individuals with a history of Major Depressive Disorder (MDD) with respect to the cognitive ER strategies they habitually use (CERQ) in response to negative affect. The sample consisted of 42 bipolar patients, 43 patients with MDD and 39 HC. RESULTS: Compared to HC, euthymic BD and MDD individuals reported increased use of rumination, catastrophizing, and self-blame alongside decreased use of positive reappraisal, and putting into perspective. No differences were found between BD and MDD groups. LIMITATIONS: These findings are based on self-reports reflecting the habitual use of ER-strategies. The use of more objective methods and the examination of the spontaneous use of ER-strategies in euthymic BD would be desirable. CONCLUSIONS: Deficits in the habitual use of ER strategies may characterize BD and MDD individuals even outside of an acute episode and thereby play a role in the recurrence of affective disorders. NA NA NA",2014,"May","J Affect Disord",160,"","92-7",24445131,"10.1016/j.jad.2013.12.022",NA,"#287","Wolkenstein 2014","Louis Schiekiera (2023-06-07 20:29:55)(Screen): mix; ","","en",0,"RESULTS: Compared to HC, euthymic BD and MDD individuals reported increased use of rumination, catastrophizing, and self-blame alongside decreased use of positive reappraisal, and putting into perspective. No differences were found between BD and MDD groups. LIMITATIONS:"
"181","Behavioral and Magnetoencephalographic Correlates of Fear Generalization Are Associated With Responses to Later Virtual Reality Exposure Therapy in Spider Phobia","Roesmann, K.; Leehr, E. J.; Bohnlein, J.; Steinberg, C.; Seeger, F.; Schwarzmeier, H.; Gathmann, B.; Siminski, N.; Herrmann, M. J.; Dannlowski, U.; Lueken, U.; Klucken, T.; Hilbert, K.; Straube, T.; Junghofer, M.","BACKGROUND: Because overgeneralization of fear is a pathogenic marker of anxiety disorders, we investigated whether pretreatment levels of fear generalization in spider-phobic patients are related to their response to exposure-based treatment to identify pretreatment moderators of treatment success. METHODS: A total of 90 patients with spider phobia completed pretreatment clinical and magnetoencephalography assessments, one session of virtual reality exposure therapy, and a posttreatment clinical assessment. Based on the primary outcome (30% symptom reduction in self-reported symptoms), they were categorized as responders or nonresponders. In a pretreatment magnetoencephalography fear generalization paradigm involving fear conditioning with 2 unconditioned stimuli (UCS), we obtained fear ratings, UCS expectancy ratings, and event-related fields to conditioned stimuli (CS: CS-, CS+) and 7 different generalization stimuli on a perceptual continuum from CS- to CS+. RESULTS: Before treatment, nonresponders showed behavioral overgeneralization indicated by more linear generalization gradients in fear ratings. Analyses of magnetoencephalography source estimations revealed that nonresponders showed a decline of their (inhibitory) frontal activations to safety-signaling CS- and generalization stimuli compared with CS+ over time, while responders maintained these activations at early (<300 ms) and late processing stages. CONCLUSIONS: Results provide initial evidence that pretreatment differences of behavioral and neural markers of fear generalization may act as moderators of later responses to behavioral exposure. Stimulating further research on fear generalization as a potential predictive marker, our findings are an important first step in the attempt to identify patients who may not benefit from exposure therapy and to personalize and optimize treatment strategies for this vulnerable patient group. NA NA NA",2022,"Feb","Biol Psychiatry Cogn Neurosci Neuroimaging",7,"2","221-230",34325047,"10.1016/j.bpsc.2021.07.006",NA,"#288","Roesmann 2022","Louis Schiekiera (2023-06-12 22:29:46)(Screen): pos; ","","en",1,"RESULTS: Before treatment, nonresponders showed behavioral overgeneralization indicated by more linear generalization gradients in fear ratings. Analyses of magnetoencephalography source estimations revealed that nonresponders showed a decline of their (inhibitory) frontal activations to safety-signaling CS- and generalization stimuli compared with CS+ over time, while responders maintained these activations at early (<300 ms) and late processing stages. CONCLUSIONS:"
"182","Efficacy of Cognitive-Behavioral Therapy for the Prophylaxis of Migraine in Adults: A Three-Armed Randomized Controlled Trial","Klan, T.; Gaul, C.; Liesering-Latta, E.; Both, B.; Held, I.; Hennemann, S.; Witthoft, M.","BACKGROUND: Behavioral approaches are central to the preventive treatment of migraine but empirical evidence regarding efficacy and effectiveness is still sparse. This study aimed to evaluate the efficacy of a newly developed migraine-specific, integrative cognitive-behavioral therapy program (miCBT) combining several approaches (trigger and stress management, coping with fear of attacks, relaxation training) by comparing it with a single behavioral approach (relaxation training, RLX) as an active control group and a waiting-list control group (WLC). METHODS: In a three-armed open-label randomized controlled trial, 121 adults with migraine were assigned to either miCBT, RLX or WLC. The outpatient group therapy (miCBT or RLX) consisted of seven sessions each 90 min. Participants who completed the WLC were subsequently randomized to one of the two treatment groups. Primary outcomes were headache days, headache-related disability, emotional distress, and self-efficacy. The baseline was compared to post-treatment, and followed by assessments 4- and 12-months post-treatment to compare miCBT and RLX. RESULTS: Mixed-model analyses (intention-to-treat sample, 106 participants) showed significantly stronger pre-post improvements in self-efficacy (assessed by the Headache Management Self-Efficacy Scale, HMSE-G-SF) in both treatment groups compared to the WLC (mean difference at post; miCBT: 4.67 [0.55-8.78], p = 0.027; RLX: 4.42 [0.38 to 8.46], p = 0.032), whereas no other significant between-group differences were observed. The follow-up analyses revealed significant within-group improvements from baseline to 12-month follow-up in all four primary outcomes for both treatments. However, between-group effects (miCBT vs. RLX) were not significant at follow-up. CONCLUSION: The miCBT has no better treatment effects compared to RLX in migraine-prophylaxis. Both treatments effectively increase patients' self-efficacy. TRIAL REGISTRATION: German Clinical Trials Register (www.drks.de; DRKS-ID: DRKS00011111). significant, significant NA NA",2022,"2022/04/28","Front Neurol",13,"","852616",35572937,"10.3389/fneur.2022.852616",NA,"#289","Klan 2022","Jonathan Diederichs (2023-05-20 01:08:19)(Screen): mix; ","","en",0,"RESULTS: Mixed-model analyses (intention-to-treat sample, 106 participants) showed significantly stronger pre-post improvements in self-efficacy (assessed by the Headache Management Self-Efficacy Scale, HMSE-G-SF) in both treatment groups compared to the WLC (mean difference at post; miCBT: 4.67 [0.55-8.78], p = 0.027; RLX: 4.42 [0.38 to 8.46], p = 0.032), whereas no other significant between-group differences were observed. The follow-up analyses revealed significant within-group improvements from baseline to 12-month follow-up in all four primary outcomes for both treatments. However, between-group effects (miCBT vs. RLX) were not significant at follow-up. CONCLUSION:"
"183","Fear of positive evaluation in borderline personality disorder","Weinbrecht, A.; Roepke, S.; Renneberg, B.","BACKGROUND: Being afraid of others' positive appraisal of oneself is called fear of positive evaluation. Fear of positive evaluation has been studied intensively in the context of social anxiety disorder (SAD). It is not known if individuals with borderline personality disorder (BPD) fear positive evaluation and which factors are associated with fear of positive evaluation in BPD. METHODS: We applied the fear of positive evaluation scale and further self-report measures (e.g., social phobia inventory, rejection sensitivity questionnaire) to 36 patients with BPD, 29 patients with SAD and 35 healthy controls (HC). RESULTS: A one-way ANOVA revealed that patients with BPD and patients with SAD reported significantly higher fear of positive evaluation than HC. Patients with BPD and SAD did not differ in their fear of positive evaluation. A hierarchical regression analysis revealed an association between rejection sensitivity and fear of positive evaluation in the BPD sample. However, this association disappeared when controlling for social anxiety. CONCLUSION: Our results indicate that individuals with BPD fear positive evaluation as much as individuals with SAD do, which has implications for clinical practice. Our results further imply that social anxiety is decisive for high fear of positive evaluation in patients with SAD and patients with BPD. NA NA NA",2020,"2020/08/20","PLOS ONE",15,"8","e0237944",32817666,"10.1371/journal.pone.0237944",NA,"#290","Weinbrecht 2020","Louis Schiekiera (2023-05-17 23:54:55)(Screen): mix; ","","en",0,"RESULTS: A one-way ANOVA revealed that patients with BPD and patients with SAD reported significantly higher fear of positive evaluation than HC. Patients with BPD and SAD did not differ in their fear of positive evaluation. A hierarchical regression analysis revealed an association between rejection sensitivity and fear of positive evaluation in the BPD sample. However, this association disappeared when controlling for social anxiety. CONCLUSION:"
"185","Cognitive-Behavioral Therapy for Postbariatric Surgery Patients With Mental Disorders: A Pilot Study","Rudolph, A.; Hilbert, A.","BACKGROUND: Binge-eating disorder (BED) and major depressive disorder (MDD) following bariatric surgery are significant predictors for less post-operative weight loss and/or weight regain, however, cognitive-behavioral therapy (CBT) addressing these disorders following surgery has not been investigated so far. OBJECTIVE: This study examined feasibility of a short-term CBT based on evidence-based manuals for BED and MDD that were adapted to patients following bariatric surgery, and investigated its effectiveness in improving weight loss outcome, psychopathology, and psychosocial functioning. MATERIALS AND METHODS: In an uncontrolled proof-of-concept study, the CBT manual was piloted in N = 7 patients who had undergone roux-en-Y gastric bypass surgery at least 6 months before. Weight loss, eating disorder psychopathology, depressive symptoms, and self-esteem were assessed using clinical interviews and self-report questionnaires at pre-treatment, post-treatment, and in a 3-month follow-up. RESULTS: A significant reduction of body weight was found as well as medium to large effects in the improvement of eating disorder psychopathology, depressive symptoms, and self-esteem from pre-treatment to post-treatment were found. Most of those changes remained stable during the 3-month follow-up period. Study retention was 71.4%. CONCLUSIONS: Feasibility and effectiveness of CBT were documented for patients with BED or MDD following bariatric surgery. Adaptations of the study procedure for proof-of-efficacy in randomized-controlled studies are discussed. NA NA NA",2020,"2020/02/12","Front Psychiatry",11,"","14",32116836,"10.3389/fpsyt.2020.00014",NA,"#292","Rudolph 2020","Louis Schiekiera (2023-06-16 07:35:33)(Screen): pos; ","","en",1,"RESULTS: A significant reduction of body weight was found as well as medium to large effects in the improvement of eating disorder psychopathology, depressive symptoms, and self-esteem from pre-treatment to post-treatment were found. Most of those changes remained stable during the 3-month follow-up period. Study retention was 71.4%. CONCLUSIONS:"
"186","Neural Correlates of Own- and Other-Face Perception in Body Dysmorphic Disorder","Ritter, V.; Kaufmann, J. M.; Krahmer, F.; Wiese, H.; Stangier, U.; Schweinberger, S. R.","BACKGROUND: Body dysmorphic disorder (BDD) is characterized by an excessive preoccupation with one or more perceived flaws in one's own appearance. Previous studies provided evidence for deficits in configural and holistic processing in BDD. Preliminary evidence suggests abnormalities at an early stage of visual processing. The present study is the first examining early neurocognitive perception of the own face in BDD by using electroencephalography (EEG). We investigated the face inversion effect, in which inverted (upside-down) faces are disproportionately poorly processed compared to upright faces. This effect reflects a disruption of configural and holistic processing, and in consequence a preponderance of featural face processing. METHODS: We recorded face-sensitive event-related potentials (ERPs) in 16 BDD patients and 16 healthy controls, all unmedicated. Participants viewed upright and inverted (upside-down) images of their own face and an unfamiliar other face, each in two facial emotional expressions (neutral vs. smiling). We calculated the early ERP components P100, N170, P200, N250, and the late positive component (LPC), and compared amplitudes among both groups. RESULTS: In the early P100, no face inversion effects were found in both groups. In the N170, both groups exhibited the common face inversion effects, with significantly larger N170 amplitudes for inverted than upright faces. In the P200, both groups exhibited larger inversion effects to other (relative to own) faces, with larger P200 amplitudes for other upright than inverted faces. In the N250, no significant group differences were found in face processing. In the LPC, both groups exhibited larger inversion effects to other (relative to own) faces, with larger LPC amplitudes for other inverted than upright faces. These overall patterns appeared to be comparable for both groups. Smaller inversion effects to own (relative to other) faces were observed in none of these components in BDD, relative to controls. CONCLUSIONS: The findings suggest no evidence for abnormalities at all levels of early face processing in our observed sample of BDD patients. Further research should investigate the neural substrates underlying BDD symptomatology. NA NA NA",2020,"2020/04/24","Front Psychiatry",11,"","302",32395110,"10.3389/fpsyt.2020.00302",NA,"#294","Ritter 2020","Louis Schiekiera (2023-05-11 19:11:46)(Screen): mix; ","","en",0,"RESULTS: In the early P100, no face inversion effects were found in both groups. In the N170, both groups exhibited the common face inversion effects, with significantly larger N170 amplitudes for inverted than upright faces. In the P200, both groups exhibited larger inversion effects to other (relative to own) faces, with larger P200 amplitudes for other upright than inverted faces. In the N250, no significant group differences were found in face processing. In the LPC, both groups exhibited larger inversion effects to other (relative to own) faces, with larger LPC amplitudes for other inverted than upright faces. These overall patterns appeared to be comparable for both groups. Smaller inversion effects to own (relative to other) faces were observed in none of these components in BDD, relative to controls. CONCLUSIONS:"
"187","Trait-Based Emotional Intelligence, Body Image Dissatisfaction, and HRQoL in Children","Pollatos, O.; Georgiou, E.; Kobel, S.; Schreiber, A.; Dreyhaupt, J.; Steinacker, J. M.","BACKGROUND: Body image dissatisfaction (BID) is related to an increased risk for various health issues including descreased health-related quality of life (HRQoL), the development of problematic eating behaviors and obesity. Previous research indicates that emotional intelligence is one important factor related to BID in adults. Whether this is the case in children, remains yet unknown. Taking this into consideration, the aim of this study was to explore the relationship between BID and trait-based emotion intelligence (TEI) as well as HRQoL in female and male primary school children. MATERIALS AND METHODS: TEI and BID were assessed via self-reports as well as HRQoL via parental reports in a large sample of 991 primary school children (429 girls) within the ""Baden Wurttemberg Study"", which evaluated the effectiveness of the health prevention programm ""Join the Healthy Boat"" in Southwestern Germany. RESULTS: Our findings demonstrated the interrelation between higher levels of TEI and lower levels of BID among girls and boys. Positive associations were found between better HRQoL, better intrapersonal and stress management abilites (subscales of TEI) and lower BID, as reflected by parental and self-reports. CONCLUSIONS: Our results reveal an interconnectivity between TEI, BID, and better HRQoL in female and male primary school children. Although the observed correlations were rather small, they nervertheless support the idea that TEI consists a key-factor for the self-regulation of health-related behavior. Prevention programs could benefit from including processes, that sough to improve aspects of emotional intelligence such as intrapersonal, interpersonal abilities, and adaptability, as an effort of preventing problematic habits or lifestyles that could lead to disordered eating behaviors as well as to obesity in middle childhood. NA NA NA",2019,"2020/01/23","Front Psychiatry",10,"","973",32038322,"10.3389/fpsyt.2019.00973",NA,"#295","Pollatos 2019","Louis Schiekiera (2023-05-11 19:12:07)(Screen): pos; ","","en",1,"RESULTS: Our findings demonstrated the interrelation between higher levels of TEI and lower levels of BID among girls and boys. Positive associations were found between better HRQoL, better intrapersonal and stress management abilites (subscales of TEI) and lower BID, as reflected by parental and self-reports. CONCLUSIONS:"
"188","Enhanced detection of emotional facial expressions in borderline personality disorder","Schulze, L.; Domes, G.; Koppen, D.; Herpertz, S. C.","BACKGROUND: Borderline personality disorder (BPD) is commonly proposed to be characterized by an enhanced sensitivity for emotional stimuli. In the present study, we investigated whether BPD patients show a superior detection of emotional facial expressions relative to healthy controls. The detection of emotional information in the environment represents an important facet of emotional sensitivity. SAMPLING AND METHODS: Twenty patients with BPD were compared with 25 healthy controls. The participants were presented a rapid, continuous stream of neutral and randomly inserted emotional facial expressions and were asked to report the presentation of an emotional facial stimulus after each trial. Availability of cognitive resources was manipulated via two different task demands. RESULTS: The participants with BPD performed significantly better in the detection of positive and negative facial expressions compared to the healthy controls. False alarm rates did not differ significantly between the two groups. CONCLUSIONS: The BPD participants showed an enhanced detection of emotional expressions that might be related to the emotional disturbances they experience. In particular, we will discuss the role of this superior emotion detection (in combination with previously reported deficits in the labeling of emotional states) for the understanding of emotional instability in BPD. NA NA NA",2013,"2012/09/20","Psychopathology",46,"4","217-24",23006779,"10.1159/000341730",NA,"#298","Schulze 2013","Louis Schiekiera (2023-06-16 06:54:53)(Screen): mix; ","","en",0,"RESULTS: The participants with BPD performed significantly better in the detection of positive and negative facial expressions compared to the healthy controls. False alarm rates did not differ significantly between the two groups. CONCLUSIONS:"
"189","Motivational processes in mild cognitive impairment and Alzheimer's disease: results from the Motivational Reserve in Alzheimer's (MoReA) study","Forstmeier, S.; Maercker, A.","BACKGROUND: Brain reserve, i.e., the ability of the brain to tolerate age- and disease-related changes in a way that cognitive function is still maintained, is assumed to be based on the lifelong training of various abilities. The Motivational Reserve in Alzheimer's (MoReA) is a longitudinal study that aims to examine motivational processes as a protective factor in mild Alzheimer's dementia (AD) and mild cognitive impairment (MCI). This paper presents the results of motivational variables, frequency of diagnoses, and prediction of global cognition as well as depression in a one-year longitudinal study. METHODS: The sample consists of 64 subjects with MCI and 47 subjects with mild AD at baseline. At baseline, the physical/neurological examinations, standard clinical assessment, neuropsychological testing, and assessment of motivational variables were performed. At follow-up (FU) one year later, neuropsychological testing including cognition, functional abilities, behavioral and affective symptoms, and global clinical assessments of severity have been repeated. RESULTS: AD cases have lower motivational capacities as measured with a midlife motivation-related occupational score and informant-reported present motivational processes, but do not differ with regard to delay of gratification (DoG) and self-reported motivational processes. DoG and delay discounting (DD) were relatively stable during the measurement interval. However, 20 % of the MCI cases converted to mild AD at FU, and 17 % of the mild AD cases converted to moderate AD. The rate of depression of Alzheimer's disease was 9 at baseline and 21 % at FU, and the rate of apathy was 7 and 14 %, respectively. Global cognition at FU was mainly predicted by baseline global cognition but also by one of the motivational variables (scenario test). Depression at FU was predicted mainly by two motivational variables (self-reported and informant-reported motivational processes). CONCLUSIONS: This research might inform motivation-related strategies for prevention and early intervention with older people or people at risk for AD. NA NA NA",2015,"Nov 17","BMC Psychiatry",15,"1","293",26578083,"10.1186/s12888-015-0666-8",NA,"#300","Forstmeier 2015","Louis Schiekiera (2023-06-08 17:31:11)(Screen): mix; ","","en",0,"RESULTS: AD cases have lower motivational capacities as measured with a midlife motivation-related occupational score and informant-reported present motivational processes, but do not differ with regard to delay of gratification (DoG) and self-reported motivational processes. DoG and delay discounting (DD) were relatively stable during the measurement interval. However, 20 % of the MCI cases converted to mild AD at FU, and 17 % of the mild AD cases converted to moderate AD. The rate of depression of Alzheimer's disease was 9 at baseline and 21 % at FU, and the rate of apathy was 7 and 14 %, respectively. Global cognition at FU was mainly predicted by baseline global cognition but also by one of the motivational variables (scenario test). Depression at FU was predicted mainly by two motivational variables (self-reported and informant-reported motivational processes). CONCLUSIONS:"
"190","Thwarted Belongingness and Perceived Burdensomeness Mediate the Association Between Bullying and Suicide Ideation","Brailovskaia, J.; Ujma, M.; Friedrich, S.; Teismann, T.","Background: Bullying has regularly been shown to be associated with suicide ideation. However, so far, only a few studies have examined the mechanisms underlying the relationship between bullying and suicide ideation within a theory of suicide. Aim: The aim of the present study was to investigate whether thwarted belongingness and perceived burdensomeness mediate the association between bullying and suicide ideation. Method: A total of 267 outpatients (63.3% female; M(age) = 37.52, SD(age) = 12.80) completed online measures of bullying, suicide ideation, thwarted belongingness, and perceived burdensomeness. Results: Thwarted belongingness as well as perceived burdensomeness fully mediated the association between bullying and suicide ideation - controlling for gender and age. Limitations: Given the cross-sectional nature of the data, only hypothetical conclusions on causality can be drawn. Conclusion: Our results support the hypothesized and theory-derived relations between bullying, thwarted belongingness, perceived burdensomeness, and suicide ideation. In anti-bullying programs it seems to be of particular importance to counter impressions of thwarted belongingness and perceived burdensomeness. NA NA NA",2020,"Mar","Crisis",41,"2","136-140",31066311,"10.1027/0227-5910/a000596",NA,"#302","Brailovskaia 2020","Louis Schiekiera (2023-06-14 22:44:06)(Screen): pos; ","","en",1,"Results: Thwarted belongingness as well as perceived burdensomeness fully mediated the association between bullying and suicide ideation - controlling for gender and age. Limitations:"
"191","Harsh discipline relates to internalizing problems and cognitive functioning: findings from a cross-sectional study with school children in Tanzania","Hecker, T.; Hermenau, K.; Salmen, C.; Teicher, M.; Elbert, T.","BACKGROUND: Child maltreatment poses a risk to children and adolescents' mental health and may also affect cognitive functioning. Also harsh discipline has been frequently associated with mental health problems. However, within societies in which harsh disciplinary methods are culturally normed and highly prevalent less is known about the association between harsh punishment, mental health problems, and cognitive functioning. METHODS: In a cross-sectional study, we conducted structured clinical interviews with a sample of Tanzanian primary school students assessing exposure to harsh discipline (Maltreatment and Abuse Chronology of Exposure), internalizing problems (Strength and Difficulties Questionnaire, Children's Depression Inventory), and working memory (Corsi Blocktapping Task). School performance was measured by using the exam grades in 4 core subjects. The 409 children (52% boys) had a mean age of 10.5 years (range: 6 - 15). RESULTS: Using structural equation modeling, a strong relationship was found between harsh discipline and internalizing problems (beta = .47), which were related to lower working memory capacity (beta = -.17) and school performance (beta = -.17). CONCLUSIONS: The present study suggests that harsh discipline is closely linked to children's internalizing mental health problems, which are in turn associated with lower cognitive functioning and school performance. Given the high rates of harsh discipline experienced by children in East African homes and elsewhere, the findings of the present study emphasize the need to inform the population at large about the potentially adverse consequences associated with harsh discipline. NA NA NA",2016,"Apr 29","BMC Psychiatry",16,"1","118",27129400,"10.1186/s12888-016-0828-3",NA,"#307","Hecker 2016","Louis Schiekiera (2023-06-16 22:50:28)(Screen): pos; ","","en",1,"RESULTS: Using structural equation modeling, a strong relationship was found between harsh discipline and internalizing problems (beta = .47), which were related to lower working memory capacity (beta = -.17) and school performance (beta = -.17). CONCLUSIONS:"
"192","Child maltreatment, peer victimization, and social anxiety in adulthood: a cross-sectional study in a treatment-seeking sample","Bruhl, A.; Kley, H.; Grocholewski, A.; Neuner, F.; Heinrichs, N.","BACKGROUND: Childhood adversities, especially emotional abuse, emotional neglect, and peer victimization are considered to be crucial risk factors for social anxiety disorder (SAD). We investigated whether particular forms of retrospectively recalled childhood adversities are specifically associated with SAD in adulthood or whether we find similar links in other anxiety or depressive disorders. METHODS: Prevalences of adversities assessed with the Childhood Trauma Questionnaire (CTQ) and a questionnaire of stressful social experiences (FBS) were determined in N = 1091 outpatients. Adversity severities among patients with SAD only (n = 25), specific phobia only (n = 18), and generalized anxiety disorder only (n = 19) were compared. Differences between patients with anxiety disorders only (n = 62) and depressive disorders only (n = 239) as well as between SAD with comorbid depressive disorders (n = 143) and SAD only were tested. RESULTS: None of the adversity types were found to be specifically associated with SAD and severities did not differ among anxiety disorders but patients with depressive disorders reported more severe emotional abuse, physical abuse, and sexual abuse than patients with anxiety disorders. SAD patients with a comorbid depressive disorder also reported more severe adversities across all types compared to SAD only. CONCLUSION: Findings indicate that particular forms of recalled childhood adversities are not specifically associated with SAD in adulthood. Previously established links with SAD may be better explained by comorbid depressive symptoms. NA NA NA",2019,"Dec 27","BMC Psychiatry",19,"1","418",31882002,"10.1186/s12888-019-2400-4",NA,"#308","Bruhl 2019","Louis Schiekiera (2023-05-23 13:49:51)(Screen): mix; ","","en",0,"RESULTS: None of the adversity types were found to be specifically associated with SAD and severities did not differ among anxiety disorders but patients with depressive disorders reported more severe emotional abuse, physical abuse, and sexual abuse than patients with anxiety disorders. SAD patients with a comorbid depressive disorder also reported more severe adversities across all types compared to SAD only. CONCLUSION:"
"193","Childhood maltreatment compromises resilience against occupational trauma exposure: A retrospective study among emergency medical service personnel","Behnke, A.; Rojas, R.; Karabatsiakis, A.; Kolassa, I. T.","BACKGROUND: Childhood maltreatment (CM) compromises resilience against stress and trauma throughout life. Therefore, it could present a major risk factor for the health of frequently trauma-exposed professionals such as emergency medical service (EMS) personnel. OBJECTIVE: We investigated, whether EMS personnel's history of CM increased their risk for mental and physical stress symptoms after occupational trauma exposure. PARTICIPANTS AND SETTING: Data from 103 German EMS personnel (age: Mdn+/-QD = 26.00 +/- 8.50 years) were collected as part of a cross-sectional survey distributed among employees of the regional German Red Cross EMS division (response rate 46.6%). The sample corresponded well to the division's entire staff in terms of socio-anagraphic characteristics. METHODS: CM and occupational trauma exposure as well as posttraumatic, depressive, and somatic symptoms were assessed with self-report questionnaires. RESULTS: Moderation analyses indicated stronger positive associations between occupational trauma exposure and the severity of posttraumatic (beta = .30, p < .001), depressive (beta = .20, p = .026), and somatic symptoms (beta = .18, p = .059) among EMS personnel who reported a higher exposure to CM. CONCLUSIONS: Our study provides initial evidence that CM could increase the EMS personnel's vulnerability to the detrimental consequences of critical incidents on duty. Future research is needed (i) to replicate and generalize our observation on various trauma-exposed professions as well as (ii) to develop preventive measures for targeting the mediating and protective factors which influence the relationship between CM and the negative consequences of occupational trauma exposure. significant, significant significant NA",2020,"Jan","Child Abuse Negl",99,"","104248",31731138,"10.1016/j.chiabu.2019.104248",NA,"#310","Behnke 2020","Jonathan Diederichs (2023-05-20 00:26:25)(Screen): pos; ","","en",1,"RESULTS: Moderation analyses indicated stronger positive associations between occupational trauma exposure and the severity of posttraumatic (beta = .30, p < .001), depressive (beta = .20, p = .026), and somatic symptoms (beta = .18, p = .059) among EMS personnel who reported a higher exposure to CM. CONCLUSIONS:"
"194","Social support and hippocampal volume are negatively associated in adults with previous experience of childhood maltreatment","Forster, K.; Danzer, L.; Redlich, R.; Opel, N.; Grotegerd, D.; Leehr, E. J.; Dohm, K.; Enneking, V.; Meinert, S.; Goltermann, J.; Lemke, H.; Waltemate, L.; Thiel, K.; Behnert, K.; Brosch, K.; Stein, F.; Meller, T.; Ringwald, K.; Schmitt, S.; Steinstrater, O.; Jansen, A.; Krug, A.; Nenadic, I.; Kircher, T.; Hahn, T.; Kugel, H.; Heindel, W.; Repple, J.; Dannlowski, U.","BACKGROUND: Childhood maltreatment has been associated with reduced hippocampal volume in healthy individuals, whereas social support, a protective factor, has been positively associated with hippocampal volumes. In this study, we investigated how social support is associated with hippocampal volume in healthy people with previous experience of childhood maltreatment. METHODS: We separated a sample of 446 healthy participants into 2 groups using the Childhood Trauma Questionnaire: 265 people without maltreatment and 181 people with maltreatment. We measured perceived social support using a short version of the Social Support Questionnaire. We examined hippocampal volume using automated segmentation (Freesurfer). We conducted a social support x group analysis of covariance on hippocampal volumes controlling for age, sex, total intracranial volume, site and verbal intelligence. RESULTS: Our analysis revealed significantly lower left hippocampal volume in people with maltreatment (left F1,432 = 5.686, p = 0.018; right F1,433 = 3.371, p = 0.07), but no main effect of social support emerged. However, we did find a significant social support x group interaction for left hippocampal volume (left F1,432 = 5.712, p = 0.017; right F1,433 = 3.480, p = 0.06). In people without maltreatment, we observed a trend toward a positive association between social support and hippocampal volume. In contrast, social support was negatively associated with hippocampal volume in people with maltreatment. LIMITATIONS: Because of the correlative nature of our study, we could not infer causal relationships between social support, maltreatment and hippocampal volume. CONCLUSION: Our results point to a complex dynamic between environmental risk, protective factors and brain structure - in line with previous evidence - suggesting a detrimental effect of maltreatment on hippocampal development. significant, significant, significant, significant NA NA",2021,"Apr 27","J Psychiatry Neurosci",46,"3","E328-E336",33904668,"10.1503/jpn.200162",NA,"#311","Forster 2021","Louis Schiekiera (2023-05-23 13:52:59)(Screen): mix; ","","en",0,"RESULTS: Our analysis revealed significantly lower left hippocampal volume in people with maltreatment (left F1,432 = 5.686, p = 0.018; right F1,433 = 3.371, p = 0.07), but no main effect of social support emerged. However, we did find a significant social support x group interaction for left hippocampal volume (left F1,432 = 5.712, p = 0.017; right F1,433 = 3.480, p = 0.06). In people without maltreatment, we observed a trend toward a positive association between social support and hippocampal volume. In contrast, social support was negatively associated with hippocampal volume in people with maltreatment. LIMITATIONS:"
